id,visitors
air_00a91d42b08b08d9_2017-04-23,21.663235
air_00a91d42b08b08d9_2017-04-24,13.465714
air_00a91d42b08b08d9_2017-04-25,14.693679
air_00a91d42b08b08d9_2017-04-26,15.48728
air_00a91d42b08b08d9_2017-04-27,15.903897
air_00a91d42b08b08d9_2017-04-28,21.277763
air_00a91d42b08b08d9_2017-04-29,22.606878
air_00a91d42b08b08d9_2017-04-30,20.495169
air_00a91d42b08b08d9_2017-05-01,13.28628
air_00a91d42b08b08d9_2017-05-02,15.877561
air_00a91d42b08b08d9_2017-05-03,19.437275
air_00a91d42b08b08d9_2017-05-04,19.623154
air_00a91d42b08b08d9_2017-05-05,18.639454
air_00a91d42b08b08d9_2017-05-06,20.067492
air_00a91d42b08b08d9_2017-05-07,22.028149
air_00a91d42b08b08d9_2017-05-08,13.417833
air_00a91d42b08b08d9_2017-05-09,14.641733
air_00a91d42b08b08d9_2017-05-10,14.821461
air_00a91d42b08b08d9_2017-05-11,15.804147
air_00a91d42b08b08d9_2017-05-12,18.574135
air_00a91d42b08b08d9_2017-05-13,21.062214
air_00a91d42b08b08d9_2017-05-14,21.950209
air_00a91d42b08b08d9_2017-05-15,13.550598
air_00a91d42b08b08d9_2017-05-16,14.785772
air_00a91d42b08b08d9_2017-05-17,15.191232
air_00a91d42b08b08d9_2017-05-18,15.7472725
air_00a91d42b08b08d9_2017-05-19,18.807873
air_00a91d42b08b08d9_2017-05-20,20.987547
air_00a91d42b08b08d9_2017-05-21,21.872532
air_00a91d42b08b08d9_2017-05-22,13.684589
air_00a91d42b08b08d9_2017-05-23,14.931133
air_00a91d42b08b08d9_2017-05-24,15.591604
air_00a91d42b08b08d9_2017-05-25,15.912065
air_00a91d42b08b08d9_2017-05-26,19.044401
air_00a91d42b08b08d9_2017-05-27,20.913128
air_00a91d42b08b08d9_2017-05-28,21.795118
air_00a91d42b08b08d9_2017-05-29,13.706238
air_00a91d42b08b08d9_2017-05-30,15.002632
air_00a91d42b08b08d9_2017-05-31,15.894792
air_0164b9927d20bcc3_2017-04-23,22.150623
air_0164b9927d20bcc3_2017-04-24,13.374898
air_0164b9927d20bcc3_2017-04-25,10.671007
air_0164b9927d20bcc3_2017-04-26,12.693718
air_0164b9927d20bcc3_2017-04-27,10.088257
air_0164b9927d20bcc3_2017-04-28,28.372084
air_0164b9927d20bcc3_2017-04-29,15.922571
air_0164b9927d20bcc3_2017-04-30,18.11226
air_0164b9927d20bcc3_2017-05-01,8.366279
air_0164b9927d20bcc3_2017-05-02,14.226027
air_0164b9927d20bcc3_2017-05-03,20.993603
air_0164b9927d20bcc3_2017-05-04,21.456978
air_0164b9927d20bcc3_2017-05-05,14.755736
air_0164b9927d20bcc3_2017-05-06,16.651596
air_0164b9927d20bcc3_2017-05-07,22.382559
air_0164b9927d20bcc3_2017-05-08,13.529614
air_0164b9927d20bcc3_2017-05-09,10.563158
air_0164b9927d20bcc3_2017-05-10,19.160439
air_0164b9927d20bcc3_2017-05-11,19.705587
air_0164b9927d20bcc3_2017-05-12,25.514256
air_0164b9927d20bcc3_2017-05-13,12.121741
air_0164b9927d20bcc3_2017-05-14,22.176865
air_0164b9927d20bcc3_2017-05-15,13.4231825
air_0164b9927d20bcc3_2017-05-16,16.824327
air_0164b9927d20bcc3_2017-05-17,19.546762
air_0164b9927d20bcc3_2017-05-18,20.102364
air_0164b9927d20bcc3_2017-05-19,25.587706
air_0164b9927d20bcc3_2017-05-20,18.4276
air_0164b9927d20bcc3_2017-05-21,21.972982
air_0164b9927d20bcc3_2017-05-22,13.469757
air_0164b9927d20bcc3_2017-05-23,17.16589
air_0164b9927d20bcc3_2017-05-24,19.940495
air_0164b9927d20bcc3_2017-05-25,20.441158
air_0164b9927d20bcc3_2017-05-26,25.464407
air_0164b9927d20bcc3_2017-05-27,17.749483
air_0164b9927d20bcc3_2017-05-28,21.770891
air_0164b9927d20bcc3_2017-05-29,13.584642
air_0164b9927d20bcc3_2017-05-30,17.513998
air_0164b9927d20bcc3_2017-05-31,20.341768
air_0241aa3964b7f861_2017-04-23,16.582033
air_0241aa3964b7f861_2017-04-24,14.51588
air_0241aa3964b7f861_2017-04-25,15.830895
air_0241aa3964b7f861_2017-04-26,16.445566
air_0241aa3964b7f861_2017-04-27,15.839549
air_0241aa3964b7f861_2017-04-28,23.354784
air_0241aa3964b7f861_2017-04-29,18.210123
air_0241aa3964b7f861_2017-04-30,16.374147
air_0241aa3964b7f861_2017-05-01,13.480393
air_0241aa3964b7f861_2017-05-02,16.73519
air_0241aa3964b7f861_2017-05-03,16.259668
air_0241aa3964b7f861_2017-05-04,17.041857
air_0241aa3964b7f861_2017-05-05,16.374147
air_0241aa3964b7f861_2017-05-06,16.786385
air_0241aa3964b7f861_2017-05-07,16.74234
air_0241aa3964b7f861_2017-05-08,13.704004
air_0241aa3964b7f861_2017-05-09,15.424568
air_0241aa3964b7f861_2017-05-10,15.369451
air_0241aa3964b7f861_2017-05-11,15.342157
air_0241aa3964b7f861_2017-05-12,19.195606
air_0241aa3964b7f861_2017-05-13,18.099829
air_0241aa3964b7f861_2017-05-14,16.660929
air_0241aa3964b7f861_2017-05-15,13.931066
air_0241aa3964b7f861_2017-05-16,15.623919
air_0241aa3964b7f861_2017-05-17,15.822907
air_0241aa3964b7f861_2017-05-18,15.348206
air_0241aa3964b7f861_2017-05-19,19.470264
air_0241aa3964b7f861_2017-05-20,17.988253
air_0241aa3964b7f861_2017-05-21,16.579895
air_0241aa3964b7f861_2017-05-22,14.160357
air_0241aa3964b7f861_2017-05-23,15.825684
air_0241aa3964b7f861_2017-05-24,16.288925
air_0241aa3964b7f861_2017-05-25,15.591434
air_0241aa3964b7f861_2017-05-26,19.748661
air_0241aa3964b7f861_2017-05-27,17.877327
air_0241aa3964b7f861_2017-05-28,16.49923
air_0241aa3964b7f861_2017-05-29,14.229181
air_0241aa3964b7f861_2017-05-30,15.8665905
air_0241aa3964b7f861_2017-05-31,16.568806
air_0328696196e46f18_2017-04-23,12.022893
air_0328696196e46f18_2017-04-24,9.264575
air_0328696196e46f18_2017-04-25,11.85474
air_0328696196e46f18_2017-04-26,12.183388
air_0328696196e46f18_2017-04-27,10.975969
air_0328696196e46f18_2017-04-28,20.606836
air_0328696196e46f18_2017-04-29,18.425985
air_0328696196e46f18_2017-04-30,11.903215
air_0328696196e46f18_2017-05-01,9.104662
air_0328696196e46f18_2017-05-02,15.77399
air_0328696196e46f18_2017-05-03,13.964538
air_0328696196e46f18_2017-05-04,13.182614
air_0328696196e46f18_2017-05-05,13.931084
air_0328696196e46f18_2017-05-06,15.564817
air_0328696196e46f18_2017-05-07,11.638473
air_0328696196e46f18_2017-05-08,9.064495
air_0328696196e46f18_2017-05-09,11.627268
air_0328696196e46f18_2017-05-10,11.898033
air_0328696196e46f18_2017-05-11,10.764048
air_0328696196e46f18_2017-05-12,15.657463
air_0328696196e46f18_2017-05-13,17.156832
air_0328696196e46f18_2017-05-14,11.644756
air_0328696196e46f18_2017-05-15,9.024492
air_0328696196e46f18_2017-05-16,11.577077
air_0328696196e46f18_2017-05-17,11.856588
air_0328696196e46f18_2017-05-18,10.717287
air_0328696196e46f18_2017-05-19,15.859269
air_0328696196e46f18_2017-05-20,17.025803
air_0328696196e46f18_2017-05-21,11.696145
air_0328696196e46f18_2017-05-22,8.984649
air_0328696196e46f18_2017-05-23,11.527084
air_0328696196e46f18_2017-05-24,11.815277
air_0328696196e46f18_2017-05-25,10.670712
air_0328696196e46f18_2017-05-26,16.06352
air_0328696196e46f18_2017-05-27,16.895716
air_0328696196e46f18_2017-05-28,11.847445
air_0328696196e46f18_2017-05-29,8.945902
air_0328696196e46f18_2017-05-30,11.477291
air_0328696196e46f18_2017-05-31,11.851859
air_034a3d5b40d5b1b1_2017-04-23,26.998573
air_034a3d5b40d5b1b1_2017-04-24,16.167992
air_034a3d5b40d5b1b1_2017-04-25,17.199406
air_034a3d5b40d5b1b1_2017-04-26,18.05914
air_034a3d5b40d5b1b1_2017-04-27,17.030556
air_034a3d5b40d5b1b1_2017-04-28,22.190796
air_034a3d5b40d5b1b1_2017-04-29,30.761082
air_034a3d5b40d5b1b1_2017-04-30,27.780788
air_034a3d5b40d5b1b1_2017-05-01,15.7755375
air_034a3d5b40d5b1b1_2017-05-02,18.499548
air_034a3d5b40d5b1b1_2017-05-03,24.83433
air_034a3d5b40d5b1b1_2017-05-04,22.67535
air_034a3d5b40d5b1b1_2017-05-05,27.02174
air_034a3d5b40d5b1b1_2017-05-06,24.366621
air_034a3d5b40d5b1b1_2017-05-07,26.113348
air_034a3d5b40d5b1b1_2017-05-08,15.857449
air_034a3d5b40d5b1b1_2017-05-09,16.870201
air_034a3d5b40d5b1b1_2017-05-10,17.892906
air_034a3d5b40d5b1b1_2017-05-11,17.24722
air_034a3d5b40d5b1b1_2017-05-12,20.168846
air_034a3d5b40d5b1b1_2017-05-13,25.547977
air_034a3d5b40d5b1b1_2017-05-14,26.445389
air_034a3d5b40d5b1b1_2017-05-15,15.93976
air_034a3d5b40d5b1b1_2017-05-16,16.957458
air_034a3d5b40d5b1b1_2017-05-17,17.843359
air_034a3d5b40d5b1b1_2017-05-18,17.199366
air_034a3d5b40d5b1b1_2017-05-19,20.11333
air_034a3d5b40d5b1b1_2017-05-20,25.752968
air_034a3d5b40d5b1b1_2017-05-21,26.781488
air_034a3d5b40d5b1b1_2017-05-22,16.022472
air_034a3d5b40d5b1b1_2017-05-23,17.04514
air_034a3d5b40d5b1b1_2017-05-24,17.89759
air_034a3d5b40d5b1b1_2017-05-25,17.151634
air_034a3d5b40d5b1b1_2017-05-26,20.057955
air_034a3d5b40d5b1b1_2017-05-27,25.959549
air_034a3d5b40d5b1b1_2017-05-28,27.12171
air_034a3d5b40d5b1b1_2017-05-29,16.105589
air_034a3d5b40d5b1b1_2017-05-30,17.133251
air_034a3d5b40d5b1b1_2017-05-31,17.989864
air_036d4f1ee7285390_2017-04-23,26.998573
air_036d4f1ee7285390_2017-04-24,16.167992
air_036d4f1ee7285390_2017-04-25,17.199406
air_036d4f1ee7285390_2017-04-26,18.05914
air_036d4f1ee7285390_2017-04-27,17.030556
air_036d4f1ee7285390_2017-04-28,22.190796
air_036d4f1ee7285390_2017-04-29,30.761082
air_036d4f1ee7285390_2017-04-30,27.780788
air_036d4f1ee7285390_2017-05-01,15.7755375
air_036d4f1ee7285390_2017-05-02,18.499548
air_036d4f1ee7285390_2017-05-03,24.83433
air_036d4f1ee7285390_2017-05-04,22.67535
air_036d4f1ee7285390_2017-05-05,27.02174
air_036d4f1ee7285390_2017-05-06,24.366621
air_036d4f1ee7285390_2017-05-07,26.113348
air_036d4f1ee7285390_2017-05-08,15.857449
air_036d4f1ee7285390_2017-05-09,16.870201
air_036d4f1ee7285390_2017-05-10,17.892906
air_036d4f1ee7285390_2017-05-11,17.24722
air_036d4f1ee7285390_2017-05-12,20.168846
air_036d4f1ee7285390_2017-05-13,25.547977
air_036d4f1ee7285390_2017-05-14,26.445389
air_036d4f1ee7285390_2017-05-15,15.93976
air_036d4f1ee7285390_2017-05-16,16.957458
