id,visitors
air_00a91d42b08b08d9_2017-04-23,18.660362
air_00a91d42b08b08d9_2017-04-24,14.213276
air_00a91d42b08b08d9_2017-04-25,15.1716175
air_00a91d42b08b08d9_2017-04-26,17.88349
air_00a91d42b08b08d9_2017-04-27,18.436201
air_00a91d42b08b08d9_2017-04-28,29.61039
air_00a91d42b08b08d9_2017-04-29,20.708668
air_00a91d42b08b08d9_2017-04-30,20.720947
air_00a91d42b08b08d9_2017-05-01,14.02607
air_00a91d42b08b08d9_2017-05-02,18.215933
air_00a91d42b08b08d9_2017-05-03,21.22799
air_00a91d42b08b08d9_2017-05-04,16.940605
air_00a91d42b08b08d9_2017-05-05,19.470821
air_00a91d42b08b08d9_2017-05-06,21.129925
air_00a91d42b08b08d9_2017-05-07,18.656422
air_00a91d42b08b08d9_2017-05-08,14.394121
air_00a91d42b08b08d9_2017-05-09,14.463752
air_00a91d42b08b08d9_2017-05-10,16.754015
air_00a91d42b08b08d9_2017-05-11,17.553316
air_00a91d42b08b08d9_2017-05-12,22.857613
air_00a91d42b08b08d9_2017-05-13,19.9599
air_00a91d42b08b08d9_2017-05-14,19.29052
air_00a91d42b08b08d9_2017-05-15,14.841417
air_00a91d42b08b08d9_2017-05-16,15.33469
air_00a91d42b08b08d9_2017-05-17,17.861141
air_00a91d42b08b08d9_2017-05-18,18.695873
air_00a91d42b08b08d9_2017-05-19,24.346249
air_00a91d42b08b08d9_2017-05-20,20.88661
air_00a91d42b08b08d9_2017-05-21,19.876144
air_00a91d42b08b08d9_2017-05-22,15.332969
air_00a91d42b08b08d9_2017-05-23,16.186182
air_00a91d42b08b08d9_2017-05-24,19.082596
air_00a91d42b08b08d9_2017-05-25,19.814564
air_00a91d42b08b08d9_2017-05-26,25.680569
air_00a91d42b08b08d9_2017-05-27,21.822945
air_00a91d42b08b08d9_2017-05-28,20.438562
air_00a91d42b08b08d9_2017-05-29,15.765553
air_00a91d42b08b08d9_2017-05-30,16.983747
air_00a91d42b08b08d9_2017-05-31,20.347895
air_0164b9927d20bcc3_2017-04-23,20.069094
air_0164b9927d20bcc3_2017-04-24,16.382475
air_0164b9927d20bcc3_2017-04-25,10.230518
air_0164b9927d20bcc3_2017-04-26,12.973746
air_0164b9927d20bcc3_2017-04-27,10.566538
air_0164b9927d20bcc3_2017-04-28,31.606491
air_0164b9927d20bcc3_2017-04-29,16.606287
air_0164b9927d20bcc3_2017-04-30,20.524462
air_0164b9927d20bcc3_2017-05-01,8.392073
air_0164b9927d20bcc3_2017-05-02,14.039025
air_0164b9927d20bcc3_2017-05-03,19.788382
air_0164b9927d20bcc3_2017-05-04,14.913219
air_0164b9927d20bcc3_2017-05-05,16.45038
air_0164b9927d20bcc3_2017-05-06,19.75048
air_0164b9927d20bcc3_2017-05-07,18.958435
air_0164b9927d20bcc3_2017-05-08,16.081562
air_0164b9927d20bcc3_2017-05-09,10.119419
air_0164b9927d20bcc3_2017-05-10,19.994715
air_0164b9927d20bcc3_2017-05-11,21.506268
air_0164b9927d20bcc3_2017-05-12,26.997551
air_0164b9927d20bcc3_2017-05-13,12.826132
air_0164b9927d20bcc3_2017-05-14,19.574783
air_0164b9927d20bcc3_2017-05-15,16.635544
air_0164b9927d20bcc3_2017-05-16,19.799973
air_0164b9927d20bcc3_2017-05-17,21.193932
air_0164b9927d20bcc3_2017-05-18,22.581913
air_0164b9927d20bcc3_2017-05-19,28.281963
air_0164b9927d20bcc3_2017-05-20,18.40893
air_0164b9927d20bcc3_2017-05-21,20.18472
air_0164b9927d20bcc3_2017-05-22,17.206257
air_0164b9927d20bcc3_2017-05-23,20.617023
air_0164b9927d20bcc3_2017-05-24,22.35136
air_0164b9927d20bcc3_2017-05-25,23.599812
air_0164b9927d20bcc3_2017-05-26,29.464893
air_0164b9927d20bcc3_2017-05-27,19.399265
air_0164b9927d20bcc3_2017-05-28,20.784988
air_0164b9927d20bcc3_2017-05-29,17.807579
air_0164b9927d20bcc3_2017-05-30,21.362217
air_0164b9927d20bcc3_2017-05-31,23.477373
air_0241aa3964b7f861_2017-04-23,15.772174
air_0241aa3964b7f861_2017-04-24,14.095011
air_0241aa3964b7f861_2017-04-25,16.54249
air_0241aa3964b7f861_2017-04-26,17.896141
air_0241aa3964b7f861_2017-04-27,18.518604
air_0241aa3964b7f861_2017-04-28,27.215525
air_0241aa3964b7f861_2017-04-29,20.376198
air_0241aa3964b7f861_2017-04-30,19.232908
air_0241aa3964b7f861_2017-05-01,13.329309
air_0241aa3964b7f861_2017-05-02,19.14109
air_0241aa3964b7f861_2017-05-03,23.5969
air_0241aa3964b7f861_2017-05-04,24.318508
air_0241aa3964b7f861_2017-05-05,23.78385
air_0241aa3964b7f861_2017-05-06,22.326187
air_0241aa3964b7f861_2017-05-07,15.529595
air_0241aa3964b7f861_2017-05-08,13.738921
air_0241aa3964b7f861_2017-05-09,15.158032
air_0241aa3964b7f861_2017-05-10,16.558432
air_0241aa3964b7f861_2017-05-11,16.599815
air_0241aa3964b7f861_2017-05-12,23.772081
air_0241aa3964b7f861_2017-05-13,20.204239
air_0241aa3964b7f861_2017-05-14,15.950688
air_0241aa3964b7f861_2017-05-15,14.233169
air_0241aa3964b7f861_2017-05-16,15.984264
air_0241aa3964b7f861_2017-05-17,17.554777
air_0241aa3964b7f861_2017-05-18,17.888893
air_0241aa3964b7f861_2017-05-19,25.260551
air_0241aa3964b7f861_2017-05-20,20.921787
air_0241aa3964b7f861_2017-05-21,16.462812
air_0241aa3964b7f861_2017-05-22,14.8509865
air_0241aa3964b7f861_2017-05-23,16.97823
air_0241aa3964b7f861_2017-05-24,18.618782
