id,visitors
air_00a91d42b08b08d9_2017-04-23,16.90749
air_00a91d42b08b08d9_2017-04-24,13.573713
air_00a91d42b08b08d9_2017-04-25,15.099321
air_00a91d42b08b08d9_2017-04-26,17.130816
air_00a91d42b08b08d9_2017-04-27,17.116644
air_00a91d42b08b08d9_2017-04-28,22.599483
air_00a91d42b08b08d9_2017-04-29,18.119816
air_00a91d42b08b08d9_2017-04-30,16.495646
air_00a91d42b08b08d9_2017-05-01,12.775996
air_00a91d42b08b08d9_2017-05-02,17.60458
air_00a91d42b08b08d9_2017-05-03,17.322702
air_00a91d42b08b08d9_2017-05-04,16.834385
air_00a91d42b08b08d9_2017-05-05,17.717548
air_00a91d42b08b08d9_2017-05-06,18.451721
air_00a91d42b08b08d9_2017-05-07,16.837353
air_00a91d42b08b08d9_2017-05-08,13.181779
air_00a91d42b08b08d9_2017-05-09,14.365732
air_00a91d42b08b08d9_2017-05-10,15.931793
air_00a91d42b08b08d9_2017-05-11,15.980973
air_00a91d42b08b08d9_2017-05-12,19.236927
air_00a91d42b08b08d9_2017-05-13,20.086681
air_00a91d42b08b08d9_2017-05-14,16.918694
air_00a91d42b08b08d9_2017-05-15,13.621942
air_00a91d42b08b08d9_2017-05-16,14.922566
air_00a91d42b08b08d9_2017-05-17,16.638828
air_00a91d42b08b08d9_2017-05-18,16.7709
air_00a91d42b08b08d9_2017-05-19,19.835352
air_00a91d42b08b08d9_2017-05-20,20.461018
air_00a91d42b08b08d9_2017-05-21,17.001413
air_00a91d42b08b08d9_2017-05-22,13.940186
air_00a91d42b08b08d9_2017-05-23,15.613811
air_00a91d42b08b08d9_2017-05-24,17.416933
air_00a91d42b08b08d9_2017-05-25,17.566463
air_00a91d42b08b08d9_2017-05-26,20.406044
air_00a91d42b08b08d9_2017-05-27,20.917141
air_00a91d42b08b08d9_2017-05-28,17.29591
air_00a91d42b08b08d9_2017-05-29,14.346741
air_00a91d42b08b08d9_2017-05-30,16.335497
air_00a91d42b08b08d9_2017-05-31,18.078402
air_0164b9927d20bcc3_2017-04-23,19.213829
air_0164b9927d20bcc3_2017-04-24,15.719844
air_0164b9927d20bcc3_2017-04-25,8.346327
air_0164b9927d20bcc3_2017-04-26,15.354548
air_0164b9927d20bcc3_2017-04-27,8.981255
air_0164b9927d20bcc3_2017-04-28,28.934984
air_0164b9927d20bcc3_2017-04-29,19.72137
air_0164b9927d20bcc3_2017-04-30,17.73508
air_0164b9927d20bcc3_2017-05-01,7.1077847
air_0164b9927d20bcc3_2017-05-02,15.731093
air_0164b9927d20bcc3_2017-05-03,19.568314
air_0164b9927d20bcc3_2017-05-04,17.61092
air_0164b9927d20bcc3_2017-05-05,17.911545
air_0164b9927d20bcc3_2017-05-06,18.72614
air_0164b9927d20bcc3_2017-05-07,18.563116
air_0164b9927d20bcc3_2017-05-08,15.108878
air_0164b9927d20bcc3_2017-05-09,8.182093
air_0164b9927d20bcc3_2017-05-10,20.69909
air_0164b9927d20bcc3_2017-05-11,20.180153
air_0164b9927d20bcc3_2017-05-12,24.283737
air_0164b9927d20bcc3_2017-05-13,13.959194
air_0164b9927d20bcc3_2017-05-14,18.831282
air_0164b9927d20bcc3_2017-05-15,15.513032
air_0164b9927d20bcc3_2017-05-16,18.666851
air_0164b9927d20bcc3_2017-05-17,21.270096
air_0164b9927d20bcc3_2017-05-18,20.820772
air_0164b9927d20bcc3_2017-05-19,24.835451
air_0164b9927d20bcc3_2017-05-20,21.24245
air_0164b9927d20bcc3_2017-05-21,19.074837
air_0164b9927d20bcc3_2017-05-22,15.887329
air_0164b9927d20bcc3_2017-05-23,19.425077
air_0164b9927d20bcc3_2017-05-24,21.786167
air_0164b9927d20bcc3_2017-05-25,21.506907
air_0164b9927d20bcc3_2017-05-26,25.399202
air_0164b9927d20bcc3_2017-05-27,21.707676
