day_int,demand
1,2704
2,2194
3,1562
4,1251
5,2
6,2049
7,2815
8,3248
9,1674
10,1355
11,1335
12,1410
13,1349
14,1946
15,2634
16,2012
17,1522
18,1363
19,1300
20,1459
21,1872
22,2596
23,1415
24,939
25,1089
26,1413
27,1449
28,1830
29,2154
30,1784
31,1327
32,1352
33,1279
34,1338
35,1560
36,1867
37,1996
38,1453
39,1359
40,1157
41,1521
42,1897
43,2351
44,1847
45,1386
46,1579
47,1530
48,1441
49,1874
50,2271
51,1516
52,1496
53,1359
54,1245
55,1427
56,1808
57,2277
58,1879
59,1295
60,1293
61,1489
62,1605
63,1952
64,2516
65,1911
66,1354
67,1481
68,1377
69,1245
70,1677
71,2184
72,1660
73,1489
74,1448
75,1366
76,1435
77,1562
78,2042
79,1693
80,1202
81,1183
82,1327
83,1350
84,1621
85,1868
86,971
87,1295
88,1203
89,1125
90,1390
91,1803
92,2168
93,1726
94,1261
95,1466
96,1291
97,1406
98,1469
99,2006
100,1210
101,1169
102,1339
103,1260
104,1432
105,1815
106,1926
107,1838
108,1384
109,1327
110,1404
111,1206
112,1553
113,2070
114,1473
115,1264
116,1266
117,1208
118,1351
119,1548
120,1835
121,1335
122,1158
123,1273
124,1404
125,1349
126,1748
127,2078
128,1672
129,1476
130,1472
131,1356
132,1427
133,1606
134,1999
135,1623
136,1288
137,1548
138,1441
139,1517
140,1549
141,2087
142,1633
143,1406
144,1262
145,1547
146,1490
147,1658
148,1824
149,1477
150,1440
151,1491
152,1384
153,1524
154,2120
155,2184
156,1434
157,968
158,1495
159,1541
160,1503
161,1922
162,2199
163,1737
164,1325
165,1469
166,1417
167,1330
168,1646
169,2029
170,1719
171,1358
172,1381
173,1385
174,1502
175,1737
176,1994
177,1462
178,1408
179,1272
180,1285
181,1402
182,1556
183,2052
184,1615
185,1367
186,1429
187,1426
188,1292
189,1398
190,1802
191,1659
192,1252
193,1407
194,1526
195,1408
196,1489
197,2026
198,1592
199,1405
200,1388
201,1492
202,1289
203,1679
204,1863
205,1492
206,1174
207,1326
208,1398
209,1494
210,1558
211,1866
212,1533
213,1403
214,1445
215,1805
216,1666
217,2028
218,2002
219,1443
220,1454
221,1367
222,1272
223,1283
224,1651
225,2154
226,1676
227,1464
228,1338
229,1333
230,1604
231,1816
232,2261
233,1506
234,1285
235,1321
236,1437
237,1492
238,1646
239,2045
240,1592
241,1329
242,1262
243,1335
244,1333
245,2142
246,2266
247,1845
248,1634
249,1427
250,1446
251,1385
252,1719
253,2253
254,1766
255,1311
256,1462
257,1364
258,1628
259,1884
260,2411
261,1785
262,1491
263,1414
264,1448
265,1482
266,1770
267,2050
268,1800
269,1287
270,1308
271,1613
272,1626
273,2030
274,2336
275,1562
276,1311
277,1618
278,1270
279,1646
280,1792
281,2395
282,1729
283,1328
284,1397
285,1316
286,1554
287,1931
288,2349
289,1858
290,1415
291,1470
292,1655
293,1152
294,1845
295,2026
296,1651
297,1411
298,1586
299,1567
300,620
301,1900
302,2147
303,1749
304,1442
305,1352
306,1483
307,1654
308,1930
309,2407
310,1960
311,1859
312,1556
313,1557
314,1562
315,1814
316,2308
317,1687
318,1444
319,1516
320,1445
321,1577
322,1866
323,2315
324,1787
325,1744
326,1848
327,1750
328,1850
329,2262
330,1658
331,0
332,1576
333,1439
334,1603
335,1540
336,2076
337,2254
338,1114
339,1802
340,1530
341,1606
342,1576
343,1983
344,2362
345,1753
346,1451
347,1477
348,1908
349,946
350,1581
351,2368
352,1780
353,1668
354,934
355,1733
356,1528
357,1429
358,2661
359,1909
360,1348
361,1584
362,1455
363,1529
364,1766
365,2373
366,1726
367,1513
368,1508
369,1733
370,1464
371,2136
372,2771
373,1946
374,1468
375,1494
376,1509
377,1646
378,1605
379,2534
380,2250
381,1567
382,1453
383,1630
384,1640
385,1792
386,2461
387,2133
388,1442
389,1510
390,1679
391,1630
392,1634
393,2806
394,2253
395,1631
396,1500
397,1621
398,1817
399,1727
400,2503
401,2100
402,1607
403,1579
404,1488
405,1692
406,1948
407,2361
408,2020
409,1623
410,1691
411,1451
412,1774
413,2069
414,2584
415,2054
416,1535
417,1586
418,1808
419,1722
420,1792
421,2556
422,2003
423,1239
424,1572
425,1590
426,1554
427,1900
428,2688
429,2032
430,1609
431,1658
432,1548
433,1666
434,2274
435,2922
436,1516
437,1626
438,1674
439,1588
440,1720
441,2111
442,2214
443,1967
444,1485
445,1525
446,1316
447,1212
448,1807
449,2377
450,1987
451,1558
452,1525
453,1405
454,1645
455,1944
456,2606
457,2039
458,1616
459,1699
460,1654
461,1927
462,2133
463,2389
464,1869
465,1445
466,1545
467,1467
468,1546
469,1878
470,2369
471,1757
472,1450
473,1633
474,1771
475,1717
476,1831
477,2386
478,2068
479,1718
480,1811
481,1673
482,1746
483,2119
484,2405
485,1841
486,1633
487,1594
488,1517
489,1872
490,2421
491,2413
492,2165
493,1534
494,1740
495,1647
496,1714
497,2372
