date,demand
2011-01-29,2704
2011-01-30,2194
2011-01-31,1562
2011-02-01,1251
2011-02-02,2
2011-02-03,2049
2011-02-04,2815
2011-02-05,3248
2011-02-06,1674
2011-02-07,1355
2011-02-08,1335
2011-02-09,1410
2011-02-10,1349
2011-02-11,1946
2011-02-12,2634
2011-02-13,2012
2011-02-14,1522
2011-02-15,1363
2011-02-16,1300
2011-02-17,1459
2011-02-18,1872
2011-02-19,2596
2011-02-20,1415
2011-02-21,939
2011-02-22,1089
2011-02-23,1413
2011-02-24,1449
2011-02-25,1830
2011-02-26,2154
2011-02-27,1784
2011-02-28,1327
2011-03-01,1352
2011-03-02,1279
2011-03-03,1338
2011-03-04,1560
2011-03-05,1867
2011-03-06,1996
2011-03-07,1453
2011-03-08,1359
2011-03-09,1157
2011-03-10,1521
2011-03-11,1897
2011-03-12,2351
2011-03-13,1847
2011-03-14,1386
2011-03-15,1579
2011-03-16,1530
2011-03-17,1441
2011-03-18,1874
2011-03-19,2271
2011-03-20,1516
2011-03-21,1496
2011-03-22,1359
2011-03-23,1245
2011-03-24,1427
2011-03-25,1808
2011-03-26,2277
2011-03-27,1879
2011-03-28,1295
2011-03-29,1293
2011-03-30,1489
2011-03-31,1605
2011-04-01,1952
2011-04-02,2516
2011-04-03,1911
2011-04-04,1354
2011-04-05,1481
2011-04-06,1377
2011-04-07,1245
2011-04-08,1677
2011-04-09,2184
2011-04-10,1660
2011-04-11,1489
2011-04-12,1448
2011-04-13,1366
2011-04-14,1435
2011-04-15,1562
2011-04-16,2042
2011-04-17,1693
2011-04-18,1202
2011-04-19,1183
2011-04-20,1327
2011-04-21,1350
2011-04-22,1621
2011-04-23,1868
2011-04-24,971
2011-04-25,1295
2011-04-26,1203
2011-04-27,1125
2011-04-28,1390
2011-04-29,1803
2011-04-30,2168
2011-05-01,1726
2011-05-02,1261
2011-05-03,1466
2011-05-04,1291
2011-05-05,1406
2011-05-06,1469
2011-05-07,2006
2011-05-08,1210
2011-05-09,1169
2011-05-10,1339
2011-05-11,1260
2011-05-12,1432
2011-05-13,1815
2011-05-14,1926
2011-05-15,1838
2011-05-16,1384
2011-05-17,1327
2011-05-18,1404
2011-05-19,1206
2011-05-20,1553
2011-05-21,2070
2011-05-22,1473
2011-05-23,1264
2011-05-24,1266
2011-05-25,1208
2011-05-26,1351
2011-05-27,1548
2011-05-28,1835
2011-05-29,1335
2011-05-30,1158
2011-05-31,1273
2011-06-01,1404
2011-06-02,1349
2011-06-03,1748
2011-06-04,2078
2011-06-05,1672
2011-06-06,1476
2011-06-07,1472
2011-06-08,1356
2011-06-09,1427
2011-06-10,1606
2011-06-11,1999
2011-06-12,1623
2011-06-13,1288
2011-06-14,1548
2011-06-15,1441
2011-06-16,1517
2011-06-17,1549
2011-06-18,2087
2011-06-19,1633
2011-06-20,1406
2011-06-21,1262
2011-06-22,1547
2011-06-23,1490
2011-06-24,1658
2011-06-25,1824
2011-06-26,1477
2011-06-27,1440
2011-06-28,1491
2011-06-29,1384
2011-06-30,1524
2011-07-01,2120
2011-07-02,2184
2011-07-03,1434
2011-07-04,968
2011-07-05,1495
2011-07-06,1541
2011-07-07,1503
2011-07-08,1922
2011-07-09,2199
2011-07-10,1737
2011-07-11,1325
2011-07-12,1469
2011-07-13,1417
2011-07-14,1330
2011-07-15,1646
2011-07-16,2029
2011-07-17,1719
2011-07-18,1358
2011-07-19,1381
2011-07-20,1385
2011-07-21,1502
2011-07-22,1737
2011-07-23,1994
2011-07-24,1462
2011-07-25,1408
2011-07-26,1272
2011-07-27,1285
2011-07-28,1402
2011-07-29,1556
2011-07-30,2052
2011-07-31,1615
2011-08-01,1367
2011-08-02,1429
2011-08-03,1426
2011-08-04,1292
2011-08-05,1398
2011-08-06,1802
2011-08-07,1659
2011-08-08,1252
2011-08-09,1407
2011-08-10,1526
2011-08-11,1408
2011-08-12,1489
2011-08-13,2026
2011-08-14,1592
2011-08-15,1405
2011-08-16,1388
2011-08-17,1492
2011-08-18,1289
2011-08-19,1679
2011-08-20,1863
2011-08-21,1492
2011-08-22,1174
2011-08-23,1326
2011-08-24,1398
2011-08-25,1494
2011-08-26,1558
2011-08-27,1866
2011-08-28,1533
2011-08-29,1403
2011-08-30,1445
2011-08-31,1805
2011-09-01,1666
2011-09-02,2028
2011-09-03,2002
2011-09-04,1443
2011-09-05,1454
2011-09-06,1367
2011-09-07,1272
2011-09-08,1283
2011-09-09,1651
2011-09-10,2154
2011-09-11,1676
2011-09-12,1464
2011-09-13,1338
2011-09-14,1333
2011-09-15,1604
2011-09-16,1816
2011-09-17,2261
2011-09-18,1506
2011-09-19,1285
2011-09-20,1321
2011-09-21,1437
2011-09-22,1492
2011-09-23,1646
2011-09-24,2045
2011-09-25,1592
2011-09-26,1329
2011-09-27,1262
2011-09-28,1335
2011-09-29,1333
2011-09-30,2142
2011-10-01,2266
2011-10-02,1845
2011-10-03,1634
2011-10-04,1427
2011-10-05,1446
2011-10-06,1385
2011-10-07,1719
2011-10-08,2253
2011-10-09,1766
2011-10-10,1311
2011-10-11,1462
2011-10-12,1364
2011-10-13,1628
2011-10-14,1884
2011-10-15,2411
2011-10-16,1785
2011-10-17,1491
2011-10-18,1414
2011-10-19,1448
2011-10-20,1482
2011-10-21,1770
2011-10-22,2050
2011-10-23,1800
2011-10-24,1287
2011-10-25,1308
2011-10-26,1613
2011-10-27,1626
2011-10-28,2030
2011-10-29,2336
2011-10-30,1562
2011-10-31,1311
2011-11-01,1618
2011-11-02,1270
2011-11-03,1646
2011-11-04,1792
2011-11-05,2395
2011-11-06,1729
2011-11-07,1328
2011-11-08,1397
2011-11-09,1316
2011-11-10,1554
